Nazwa,Adres,Adres do mapy,Typ kuchni,Dzielnica,Ceny,Ocena,Opinii,Opis,Godziny,Pieszo Rama9,Pieszo Sukh101,Link
Devilish Smokin' BBQ Shed + Burgers (Sukhumvit 101/1),"29 Thanon Sukhumvit 101/1, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","29 Thanon Sukhumvit 101/1, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",BBQ/Grill,Sukhumvit,$$$,4.7,494,"To miejsce słynie z ogromnych porcji autentycznego BBQ, w tym żeberek i sycących burgerów, takich jak Carnivore czy Devil beef. Warto spróbować także kruszonki owocowej oraz szerokiego wyboru australijskich piw rzemieślniczych i świeżych napojów z mango i arbuza. Lokal wyróżnia się swobodną atmosferą i bogatym menu, choć bywa w nim gwarno, co sprzyja raczej wyjściu na drinka niż spokojnej rozmowie.",Pon: Closed | Wt: 12:00 – 10:00 PM | Śr: 12:00 – 10:00 PM | Czw: 12:00 – 10:00 PM | Pt: 12:00 – 10:00 PM | Sob: 12:00 – 10:00 PM | Ndz: 12:00 – 10:00 PM,10.9,1.0,https://www.google.com/maps/search/?api=1&query=29+Thanon+Sukhumvit+101%2F1%2C+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJ14ePbgKg4jARcXbf6NxofcM
Atrium Restaurant,"ชั้นล็อบบี้ โรงแรม เดอะแลนด์มาร์ค กรุงเทพฯ 138 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","ชั้นล็อบบี้ โรงแรม เดอะแลนด์มาร์ค กรุงเทพฯ 138 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Bufet,Sukhumvit,$$$$,4.7,1676,"Atrium Restaurant oferuje bogaty bufet międzynarodowy, w którym warto skosztować przede wszystkim nielimitowanych krewetek rzecznych, steków z foie gras oraz świeżego sashimi i sushi. Miejsce wyróżnia się eleganckim, przestronnym wnętrzem o spokojnej atmosferze oraz szerokim wyborem dań, od klasycznych wędlin po dopracowane desery. Restauracja jest ceniona za profesjonalną obsługę, choć opinie gości co do stałej jakości i temperatury serwowanych potraw bywają podzielone.","Pon: 6:00 – 10:30 AM, 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Wt: 6:00 – 10:30 AM, 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Śr: 6:00 – 10:30 AM, 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Czw: 6:00 – 10:30 AM, 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Pt: 6:00 – 10:30 AM, 11:30 AM – 2:30 PM, 6:00 – 10:00 PM | Sob: 6:00 – 10:30 AM, 11:45 AM – 3:00 PM, 6:00 – 10:00 PM | Ndz: 6:00 – 10:30 AM, 11:45 AM – 3:00 PM, 6:00 – 10:00 PM",3.1,8.6,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%9A%E0%B8%9A%E0%B8%B5%E0%B9%89+%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%A1+%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%AF+138+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJcVLMF-ee4jARNdKkEpAkLrg
Saffron Restaurant Bangkok,"22/22, ground floor, Citadines Hotel, Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","22/22, ground floor, Citadines Hotel, Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Bufet,Sukhumvit,,4.8,1296,"Saffron Restaurant na Sukhumvit 11 to cenione za autentyczność miejsce, które wyróżnia się wyjątkową gościnnością i doskonałą obsługą dostępną nawet o świcie. Warto zamówić tu chwalone za wysoką jakość i lekkość dania, takie jak Chicken Lababdar, Dal Fry czy świeży Naan, a posiłek uzupełnić tradycyjną masala chai. Choć ceny są wyższe, przestronne i czyste wnętrze z indyjską muzyką tworzy atmosferę w pełni wartą swojej ceny.",Pon: Open 24 hours | Wt: Open 24 hours | Śr: Open 24 hours | Czw: Open 24 hours | Pt: Open 24 hours | Sob: Open 24 hours | Ndz: Open 24 hours,2.9,8.7,https://www.google.com/maps/search/?api=1&query=22%2F22%2C+ground+floor%2C+Citadines+Hotel%2C+Soi+Sukhumvit+11%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJnUu3NwCf4jARKb6HUQbuN_M
Charoen Rung Rueang International Buffet True Digital 101,"True Digital Park, 101 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","True Digital Park, 101 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",Bufet,Sukhumvit,,4.7,551,"To miejsce oferuje szeroki wybór dań kuchni japońskiej, tajskiej i europejskiej, wyróżniając się wyjątkowo wysoką jakością składników w stosunku do ceny. Goście szczególnie polecają zamówienie krewetek rzecznych, świeżego sashimi oraz foie gras, które są uznawane za najlepsze punkty rozbudowanego menu. Warto jednak mieć na uwadze, że przy większych grupach lub dużym obłożeniu czas oczekiwania na poszczególne dania może się znacząco wydłużyć.",Pon: 11:00 AM – 9:00 PM | Wt: 11:00 AM – 9:00 PM | Śr: 11:00 AM – 9:00 PM | Czw: 11:00 AM – 9:00 PM | Pt: 11:00 AM – 9:00 PM | Sob: 11:00 AM – 9:00 PM | Ndz: 11:00 AM – 9:00 PM,10.8,0.9,https://www.google.com/maps/search/?api=1&query=True+Digital+Park%2C+101+Sukhumvit+Rd%2C+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJMYCaQwCf4jARZ6r0dVaohK4
Buffet Rimnam by Hat Yai Sukhumvit 70/3,"3606, 1 Soi Sukhumvit 70/3, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","3606, 1 Soi Sukhumvit 70/3, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Bufet,Sukhumvit,,4.5,361,"Buffet Rimnam to ceniony bufet typu „all-you-can-eat”, który wyróżnia się rewelacyjnym stosunkiem ceny do jakości oraz szerokim wyborem świeżych owoców morza, shabu i sushi. Goście szczególnie polecają grillowane krewetki rzeczne, świeże ostrygi oraz efektownie podane sashimi, którymi można delektować się bez limitu czasowego aż do północy. Miejsce oferuje sprawną obsługę, duży parking i nowoczesne wnętrza, choć ze względu na dużą popularność w weekendy warto rozważyć rezerwację stolika.",Pon: 12:00 – 10:30 PM | Wt: 12:00 – 10:30 PM | Śr: 12:00 – 10:30 PM | Czw: 12:00 – 10:30 PM | Pt: 12:00 – 10:30 PM | Sob: 12:00 – 10:30 PM | Ndz: 12:00 – 10:30 PM,13.1,3.2,https://www.google.com/maps/search/?api=1&query=3606%2C+1+Soi+Sukhumvit+70%2F3%2C+Khwaeng+Bang+Na%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJgXHtZOOh4jAR--8GR0NPyHA
Amaya Food Gallery at Amari Bangkok,"847 Petchburi Road, Phaya Thai, Ratchathewi, Bangkok 10400, Thailand","847 Petchburi Road, Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",Bufet,Ratchathewi,,4.4,301,"Amaya Food Gallery oferuje bogate bufety o doskonałym stosunku jakości do ceny, w których warto spróbować nóg kraba królewskiego, homarów oraz dań kuchni azjatyckiej z certyfikatem halal. Restauracja wyróżnia się stylowym wystrojem i pomocną obsługą, a rotacyjne stacje gotowania na żywo zapewniają codziennie świeży wybór potraw, takich jak nasi lemak czy sashimi z hamachi.",Pon: 6:00 AM – 10:00 PM | Wt: 6:00 AM – 10:00 PM | Śr: 6:00 AM – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 10:00 PM,3.8,11.0,https://www.google.com/maps/search/?api=1&query=847+Petchburi+Road%2C+Phaya+Thai%2C+Ratchathewi%2C+Bangkok+10400%2C+Thailand&query_place_id=ChIJ05G_Us-e4jAR5JLWyq-ddYM
Kyu Hachi,"222/11-12, โครงการบ้าน ณ อุดมสุข, 16 ถนน อุดมสุข แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260, Thailand","222/11-12, โครงการบ้าน ณ อุดมสุข, 16 ถนน อุดมสุข แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260, Thailand",Bufet,,,4.9,227,"Kyu Hachi to ceniony lokal specjalizujący się w Shabu Shabu i sushi, który wyróżnia się wyjątkową świeżością składników oraz uprzejmą obsługą. Warto zamówić przede wszystkim wołowinę Wagyu, Ikura Kani Sushi oraz soczysty ozór wołowy, a posiłek warto dopełnić aromatycznymi bulionami i lodami dostępnymi w ramach bufetu.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,11.6,1.7,https://www.google.com/maps/search/?api=1&query=222%2F11-12%2C+%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99+%E0%B8%93+%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B8%AA%E0%B8%B8%E0%B8%82%2C+16+%E0%B8%96%E0%B8%99%E0%B8%99+%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B8%AA%E0%B8%B8%E0%B8%82+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10260%2C+Thailand&query_place_id=ChIJG1REVACh4jARuVwhlUpzAKQ
THE SQUARE RESTAURANT,"220 Thanon Phetchaburi, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","220 Thanon Phetchaburi, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Bufet,Ratchathewi,,4.3,214,"Restauracja wyróżnia się bogatą ofertą śniadaniową z wyciskanymi sokami i tajską herbatą mleczną oraz urozmaiconym wyborem dań kuchni chińskiej, indyjskiej i tajskiej. Warto spróbować deserów kokosowych i potraw ze stacji live cooking (m.in. świeżych past i zup), podziwiając przy tym ładny widok z okien. Mimo wysokich ocen obsługi i klimatu, opinie gości co do aktualnej formy serwowania posiłków (bufet kontra dania z karty) są obecnie podzielone.",Pon: 7:00 – 9:30 AM | Wt: 7:00 – 9:30 AM | Śr: 7:00 – 9:30 AM | Czw: 7:00 – 9:30 AM | Pt: 7:00 – 9:30 AM | Sob: 7:00 – 9:30 AM | Ndz: 7:00 – 10:00 AM,3.7,10.9,https://www.google.com/maps/search/?api=1&query=220+Thanon+Phetchaburi%2C+Khwaeng+Thanon+Phetchaburi%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJgahDYM-e4jARJC7LFSIDhxs
Crystal Grill @floor82,"222 Ratchaprarop Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","222 Ratchaprarop Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Bufet,Ratchathewi,,4.4,137,"To luksusowa restauracja bufetowa na 82. piętrze, która wyróżnia się zachwycającym panoramicznym widokiem na Bangkok oraz dostępem do tarasu widokowego w cenie posiłku. Goście szczególnie polecają bogaty wybór dań kuchni międzynarodowej, w tym świeże owoce morza oraz wysokiej jakości medaliony mięsne serwowane w formie nielimitowanych dokładek. To idealne miejsce na huczne świętowanie okazji, doceniane za sprawną obsługę i świeżość serwowanych potraw.","Pon: 6:00 – 9:00 PM | Wt: Closed | Śr: 11:00 AM – 3:00 PM, 6:00 – 9:00 PM | Czw: 11:00 AM – 3:00 PM, 6:00 – 9:30 PM | Pt: 11:00 AM – 3:00 PM, 6:00 – 9:30 PM | Sob: 11:00 AM – 3:00 PM, 6:00 – 9:30 PM | Ndz: 11:00 AM – 3:00 PM, 6:00 – 9:30 PM",3.8,11.4,https://www.google.com/maps/search/?api=1&query=222+Ratchaprarop+Rd%2C+Khwaeng+Thanon+Phaya+Thai%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ31Mxesie4jARYXXLKB0Ckls
Reap Factory,"10, 10/3 Soi Sukhumvit 20, Klongtoey, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","10, 10/3 Soi Sukhumvit 20, Klongtoey, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Bufet,Sukhumvit,,4.8,95,"Reap Factory oferuje bogate menu kuchni Asian fusion oraz atrakcyjną opcję „all you can eat”, w której szczególnie warto zamówić autentycznego maślanego kurczaka (Butter Chicken), Pad Thai oraz Tom Yum Goong. Miejsce wyróżnia się nowoczesnym, stylowym wystrojem i artystyczną prezentacją dań serwowanych na eleganckiej zastawie, co dopełnia profesjonalna i niezwykle uprzejma obsługa.",Pon: 6:00 AM – 10:00 PM | Wt: 6:00 AM – 10:00 PM | Śr: 6:00 AM – 10:00 PM | Czw: 6:00 AM – 10:00 PM | Pt: 6:00 AM – 10:00 PM | Sob: 6:00 AM – 10:00 PM | Ndz: 6:00 AM – 10:00 PM,3.2,7.4,https://www.google.com/maps/search/?api=1&query=10%2C+10%2F3+Soi+Sukhumvit+20%2C+Klongtoey%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJVy2QFOGf4jARMqm1gOkeRlE
